Feedback,"- Expected value theory: a normative model of choosing between different options. Each option has several of possible financial outcomes with a probability<br>- Expected utility theory: just like expected value theory, except that outcomes have a utility that doesn’t need to be financial, but can also subjective<br>- Multi-attribute utility theory: a normative model of choosing between different options. Each option has multiple attributes. Each attribute has a utility and a weight.<br>- Prospect theory: a descriptive (behavioral) model of choosing between different options. This is similar to expected utility theory, but also considers heuristics and biases.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-11,HTML,,
Title,"Risk aversion",HTML,,
QuestionText,"How does loss aversion affect the degree to which people are risk averse?",HTML,,
Points,1,,,
AnswerKey,"- People are willing to accept risk if this means that they can avoid a potential loss. In other words, loss aversion may decrease people’s tendency to be risk averse, and can even make people risk seeking.",HTML,,
Feedback,"- People are willing to accept risk if this means that they can avoid a potential loss. In other words, loss aversion may decrease people’s tendency to be risk averse, and can even make people risk seeking.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-12,HTML,,
Title,"Conditioning",HTML,,
QuestionText,"What is conditioning? And what is the difference between classical and operant conditioning?",HTML,,
Points,1,,,
AnswerKey,"- Conditioning is learning associations through covariation.<br>- Classical conditioning: when two things tend to happen together in time and space, we learn to associate them.<br>- Operant conditioning: learning that actions cause rewards or punishments.",HTML,,
Feedback,"- Conditioning is learning associations through covariation.<br>- Classical conditioning: when two things tend to happen together in time and space, we learn to associate them.<br>- Operant conditioning: learning that actions cause rewards or punishments.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-13,HTML,,
Title,"Illusory causation and correlation",HTML,,
QuestionText,"What is the difference between illusory causation and illusory correlation?",HTML,,
Points,1,,,
AnswerKey,"- Illusory causation is when a correlation is incorrectly interpreted as a causal relationship, whereas illusory correlation is when a correlation is perceived between two variables that do not actually correlate.",HTML,,
Feedback,"- Illusory causation is when a correlation is incorrectly interpreted as a causal relationship, whereas illusory correlation is when a correlation is perceived between two variables that do not actually correlate.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-14,HTML,,
Title,"Schemas and scripts",HTML,,
QuestionText,"When people apply for Dutch nationality or a Dutch residence permit, they need to complete a test of Dutch culture as part of the so-called inburgeringsexamen. As part of this test, people are supposed to understand how the Dutch healthcare system works, and how to ‘properly’ behave at a birthday party. Which of these two examples is a schema, and which is a script, and (briefly) why?",HTML,,
Points,1,,,
AnswerKey,"- Understanding of the Dutch healthcare system is a schema, because it corresponds to knowledge and relationships between things<br>- Knowing how to behave at a birthday party is a script, because it corresponds to a social schema that describes how you should behave in a specific situation",HTML,,
Feedback,"- Understanding of the Dutch healthcare system is a schema, because it corresponds to knowledge and relationships between things<br>- Knowing how to behave at a birthday party is a script, because it corresponds to a social schema that describes how you should behave in a specific situation",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-15,HTML,,
Title,"Behaviorism",HTML,,
QuestionText,"Behaviorism was an approach to psychology, mainly popular in the early 20th century, that emphasized that the mind could not be measured, and that psychologists should therefore focus on how stimuli trigger behavior. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance did behaviorists adopt, and (briefly) why?",HTML,,
Points,1,,,
AnswerKey,"- Behaviorists adopted the physical stance, because they focused on the processes that caused a stimulus to result in a behavior.",HTML,,
Feedback,"- Behaviorists adopted the physical stance, because they focused on the processes that caused a stimulus to result in a behavior.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-16,HTML,,
Title,"Evolutionary psychology",HTML,,
QuestionText,"Evolutionary psychology, sometimes also called functionalism, is an approach to psychology that considers psychological processes from the perspective of their usefulness in evolutionary terms. For example, ingroup favoritism (our tendency to prefer people from our own group) would be beneficial because it stimulates the emergence of protective communities. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance do evolutionary psychologists adopt, and (briefly) why?",HTML,,
Points,1,,,
AnswerKey,"- Evolutionary psychologists adopt the design stance, because they consider psychological processes in terms of their function.",HTML,,
Feedback,"- Evolutionary psychologists adopt the design stance, because they consider psychological processes in terms of their function.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-17,HTML,,
Title,"Causality",HTML,,
QuestionText,"To judge whether event A causes event B, or merely correlates with event B, we make use of five heuristics, as described in the lecture. What are these heuristics? Provide a very brief explanation of each.",HTML,,
Points,1,,,
AnswerKey,"- Distinctness (or: specificity). A likely causes B, when B follows A, but does not follow other events.<br>- Consistency. A likely causes B, when B always follows A.<br>- Plausibility. A likely causes B, when common sense makes it plausible that A causes B.<br>- Contiguity in time and space. A likely causes B, when A and B occur at the same time and in the same location.<br>- Similarity in cause and effect. A likely causes B when A and B superficially resemble each other.",HTML,,
Feedback,"- Distinctness (or: specificity). A likely causes B, when B follows A, but does not follow other events.<br>- Consistency. A likely causes B, when B always follows A.<br>- Plausibility. A likely causes B, when common sense makes it plausible that A causes B.<br>- Contiguity in time and space. A likely causes B, when A and B occur at the same time and in the same location.<br>- Similarity in cause and effect. A likely causes B when A and B superficially resemble each other.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-18,HTML,,
Title,"Moral outrage",HTML,,
QuestionText,"We tend to overestimate how many people are morally outraged based on what we see on social media. Which two biases primarily contribute to this?",HTML,,
Points,1,,,
AnswerKey,"- The negativity bias is the tendency to seek out, or place more weight on, negative information, such as morally outraged content.<br>- The availability heuristic is the tendency to estimate the frequency or probability of something based on the ease with which examples or associations come to mind.<br>- By causing us to attend to morally outraged content, the negativity bias increases examples of moral outrage, which through the availability heuristic causes us to overestimate how many people are morally outraged.",HTML,,
Feedback,"- The negativity bias is the tendency to seek out, or place more weight on, negative information, such as morally outraged content.<br>- The availability heuristic is the tendency to estimate the frequency or probability of something based on the ease with which examples or associations come to mind.<br>- By causing us to attend to morally outraged content, the negativity bias increases examples of moral outrage, which through the availability heuristic causes us to overestimate how many people are morally outraged.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-19,HTML,,
Title,"Magical contagion",HTML,,
QuestionText,"One form of magical contagion is when you prefer not to use things that used to belong to someone that you profoundly dislike. How can you explain this in terms of framework theories for different domains of knowledge?",HTML,,
Points,1,,,
AnswerKey,"- The concept of contagion from the biological domain is incorrectly applied to the social (or: psychological, or: cultural) domain.",HTML,,
Feedback,"- The concept of contagion from the biological domain is incorrectly applied to the social (or: psychological, or: cultural) domain.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-20,HTML,,
Title,"Delusional conspiracy theories",HTML,,
QuestionText,"What distinguishes a delusional conspiracy theory from a non-delusional conspiracy theory?",HTML,,
Points,1,,,
AnswerKey,"- A conspiracy theory is delusional when it is both an irrational belief and not commonly accepted. Otherwise it is a non-delusional conspiracy theory.",HTML,,
Feedback,"- A conspiracy theory is delusional when it is both an irrational belief and not commonly accepted. Otherwise it is a non-delusional conspiracy theory.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-21,HTML,,
Title,"Factors contribution to conspiracy theory",HTML,,
QuestionText,"During the lecture, we reviewed several cognitive and personality factors that contribute to conspiratorial thinking. Can you name three of these factors?",HTML,,
Points,1,,,
AnswerKey,"- 3:Should mention at least three of the following: seeing patterns in randomness; believing paranormal phenomena; attributing agency where it does not exist; believing in simple explanations for complex events; being narcissistic; being a man; having a low level of intelligence; having a low level of analytical thinking.",HTML,,
Feedback,"- 3:Should mention at least three of the following: seeing patterns in randomness; believing paranormal phenomena; attributing agency where it does not exist; believing in simple explanations for complex events; being narcissistic; being a man; having a low level of intelligence; having a low level of analytical thinking.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-22,HTML,,
Title,"Learning",HTML,,
QuestionText,"If you quiz yourself while preparing for an exam, you are likely to give incorrect answers when you don’t know the material very well yet. And then you learn by seeing the correct answer. Through which psychological mechanism can these incorrect answers interfere with learning?",HTML,,
Points,1,,,
AnswerKey,"- Through source amnesia you may forget that the answer you provided was in fact incorrect, and mistake it for the correct answer. (Alternative answers: Proactive interference can cause the initial incorrect answer to interfere with the later correct answer. The continued-influence effect may be used as a general term referring to this phenomenon.)",HTML,,
Feedback,"- Through source amnesia you may forget that the answer you provided was in fact incorrect, and mistake it for the correct answer. (Alternative answers: Proactive interference can cause the initial incorrect answer to interfere with the later correct answer. The continued-influence effect may be used as a general term referring to this phenomenon.)",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-23,HTML,,
Title,"Politicians repeating themselves",HTML,,
QuestionText,"Politicians often keep repeating the same statements over and over again. In addition to the availability heuristic, through which psychological mechanism do they hope to make their message more attractive by frequently repeating it?",HTML,,
Points,1,,,
AnswerKey,"- Mere exposure, which is the tendency to prefer things that we are familiar with. (Alternative answer: the illusory-truth effect.)",HTML,,
Feedback,"- Mere exposure, which is the tendency to prefer things that we are familiar with. (Alternative answer: the illusory-truth effect.)",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-24,HTML,,
Title,"Major depressive disorder",HTML,,
QuestionText,"People often make predictions about how likely it is that something bad will happen to them. Does major depressive disorder make people less accurate at making such predictions?",HTML,,
Points,1,,,
AnswerKey,"- No, people with major depressive disorder (as compared to non-depressed people) are more accurate at making such predictions, because they show a reduced tendency to be overly optimistic.",HTML,,
Feedback,"- No, people with major depressive disorder (as compared to non-depressed people) are more accurate at making such predictions, because they show a reduced tendency to be overly optimistic.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-25,HTML,,
Title,"Ideal observers",HTML,,
QuestionText,"In the ideal-observer model of perceptual decision making, prior beliefs are combined with sensory evidence to create a perception. That is, what you perceive is a combination of what you expect and the information that reaches your senses. What happens to the influence of prior beliefs on perception when the reliability of sensory information decreases?",HTML,,
Points,1,,,
AnswerKey,"- When the reliability of sensory information decreases, perception is increasingly affected by prior beliefs. (Or: what you perceive is increasingly a matter of what you expect when the information that reaches your senses is unreliable.)",HTML,,
Feedback,"- When the reliability of sensory information decreases, perception is increasingly affected by prior beliefs. (Or: what you perceive is increasingly a matter of what you expect when the information that reaches your senses is unreliable.)",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-26,HTML,,
Title,"Kohlberg’s stages",HTML,,
QuestionText,"According to Kohlberg, what are three levels of moral development? Very briefly describe each level. (Each level is sometimes split up into two stages. You don’t need to describe these stages.)",HTML,,
Points,1,,,
AnswerKey,"- Pre-conventional Level: Focus on obeying rules to avoid punishment or gain rewards. (If the description is correct, the name of the level does not need to be mentioned.)<br>- Conventional Level: Focus on social norms and other people’s feelings. (If the description is correct, the name of the level does not need to be mentioned.)<br>- Post-conventional Level: Focus on abstract principles and values. (If the description is correct, the name of the level does not need to be mentioned.)",HTML,,
Feedback,"- Pre-conventional Level: Focus on obeying rules to avoid punishment or gain rewards. (If the description is correct, the name of the level does not need to be mentioned.)<br>- Conventional Level: Focus on social norms and other people’s feelings. (If the description is correct, the name of the level does not need to be mentioned.)<br>- Post-conventional Level: Focus on abstract principles and values. (If the description is correct, the name of the level does not need to be mentioned.)",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-27,HTML,,
Title,"Hindsight bias and causal models",HTML,,
QuestionText,"What is a causal model (of past events), and how does it contribute to hindsight bias?",HTML,,
Points,1,,,
AnswerKey,"- A causal model is a coherent narrative of how past event are related<br>- Events that are part of a causal model seems more inevitable than they were, thus contributing to hindsight bias",HTML,,
Feedback,"- A causal model is a coherent narrative of how past event are related<br>- Events that are part of a causal model seems more inevitable than they were, thus contributing to hindsight bias",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-28,HTML,,
Title,"Hindsight bias and learning",HTML,,
QuestionText,"How does learning contribute to hindsight bias?",HTML,,
Points,1,,,
AnswerKey,"- While estimating past likelihood judgments, you cannot avoid taking newly learned information into account. This is also referred to as the curse of knowledge (this term does not need to be provided).",HTML,,
Feedback,"- While estimating past likelihood judgments, you cannot avoid taking newly learned information into account. This is also referred to as the curse of knowledge (this term does not need to be provided).",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-29,HTML,,
Title,"Decision styles",HTML,,
QuestionText,"Briefly describe the maximizing and satisficing decision styles. If someone scores high on the neuroticism personality trait, which decision style is he or she most likely to adopt?",HTML,,
Points,1,,,
AnswerKey,"- Maximizing: trying to make the best choice<br>- Satisficing: making a good-enough choice<br>- If someone scores high on the neuroticism personality trait, he or she is most likely to adopt the maximizing decision style",HTML,,
Feedback,"- Maximizing: trying to make the best choice<br>- Satisficing: making a good-enough choice<br>- If someone scores high on the neuroticism personality trait, he or she is most likely to adopt the maximizing decision style",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-30,HTML,,
Title,"Incentives",HTML,,
QuestionText,"Imagine that you are teaching a university course with many students. You would like all the students to actively engage with the material. But you have only limited time and resources, which means for example that you cannot use forms of examination that require personalized (and thus time-intensive) feedback and grading. Based on the knowledge that you gained during this course, how would you approach this? (All answers that reflect serious engagement with this question will receive a point. Therefore, I suggest that you leave this question for the end!)",HTML,,
Points,1,,,
AnswerKey,"- Any answer that reflects serious engagement with the question is considered correct.",HTML,,
Feedback,"- Any answer that reflects serious engagement with the question is considered correct.",HTML,,
